title,rating,type,min_age,max_players,max_time,weight,nlp_description
Brass: Birmingham,8.6,Strategy,14.0,4,120,3.87,brass birminghamis economic strategy game sequel martin wallace masterpiece brass brass birminghamtells story competing entrepreneur birmingham industrial revolution year offer different story arc experience predecessor predecessor must develop build establish industry network effort exploit low high market demand game played two half canal era year rail era year win game score vps vps counted end half canal rail established flipped industry tile round player take turn according turn order track receiving two action perform following action found original game build pay required resource place industry tile network add rail canal link expanding network develop increase vp value industry sell sell cotton manufactured good pottery loan take loan reduce income brass birminghamalso feature new sixth action scout discard three card take wild location wild industry card action replaces double action build originalbrass
Pandemic Legacy: Season 1,8.5,Strategy,13.0,4,60,2.83,pandemic legacyis co operative campaign game overarching story arc played session depending well group game beginning game start similar fashion basicpandemic team disease fighting specialist race clock travel around world treating disease hot spot researching cure four plague get hand player turn four action available may travel around world various way sometimes needing discard card build structure like research station treat disease removing one cube board cube color removed disease eradicated trade card player find cure disease requiring five card color discarded research station player unique role special ability help action player taken action draw two card card include epidemic card place new disease cube board lead outbreak spreading disease cube even outbreak additionally increase panic level city making city expensive travel month game two chance achieve month objective succeed win immediately move next month fail second chance funding beneficial event card campaign new rule component introduced sometimes require permanently alter component game includes writing card ripping card placing permanent sticker component character gain new skill detrimental effect character even lost entirely point longer available play part thepandemic series
Ark Nova,8.5,Strategy,14.0,4,150,3.78,inark nova plan design modern scientifically managed zoo ultimate goal owning successful zoological establishment build enclosure accommodate animal support conservation project world specialist unique building help achieving goal player set five action card manage gameplay power action determined slot card currently occupies card question card featuring animal specialist special enclosure conservation project special ability heart ofark nova use increase appeal scientific reputation zoo collect conservation point description publisher
Gloomhaven,8.6,Strategy,14.0,4,120,3.91,game persistent changing world ideally played many game session scenario player make decision next determine story continues kind like choose adventure book playing scenario co operative affair player fight automated monster using innovative card system determine order play player turn turn player chooses two card play hand number top card determines initiative round card also top bottom power player turn initiative order determine whether use top power one card bottom power vice versa player must careful though time permanently lose card hand take long clear dungeon may end exhausted forced retreat
Twilight Imperium: Fourth Edition,8.6,Strategy,14.0,6,480,4.33,twilight imperium fourth edition game galactic conquest three six player take role one seventeen faction vying galactic domination military might political maneuvering economic bargaining every faction offer completely different play experience wormhole hopping ghost creuss emirate hacan master trade economics seventeen race offered many path victory one may sit upon throne mecatol rex new master galaxy two game oftwilight imperiumare ever identical start galactic age game board uniquely strategically constructed among galaxy tile feature everything lush new planet supernova asteroid field gravity rift player dealt hand tile take turn creating galaxy around mecatol rex capital planet seated center board ion storm may block race progressing galaxy fortuitously placed gravity rift may protect closest foe galaxy craft dominate round oftwilight imperiumbegins player selecting one eight strategy card determine player order give owner unique strategic action round may anything providing additional command token allowing player control trade throughout galaxy strategy selected player take turn moving fleet system system claiming new planet empire engaging warfare trade faction end turn player gather grand council pas new law agenda shaking game unpredictable way every player passed turn player move victory track checking see whether completed objective throughout turn scoring objective determined setting ten public objective card start game gradually revealing course game player also chooses two random secret objective start game achievement provides victory point holder objective objective anything researching new technology taking neighbor home system end every turn player claim one public objective one secret objective play continues objective revealed secret objective dealt giving player dynamically changing goal throughout game play continues player reach ten victory point description publisher
Dune: Imperium,8.4,Strategy,14.0,4,120,3.07,dune imperiumis game us deck building add hidden information angle traditional worker placement find inspiration element character thedunelegacy new film legendary picture seminal literary series frank herbert brian herbert kevin j anderson leader one great house landsraad raise banner marshal force spy war coming center conflict arrakis dune desert planet start unique leader card well deck identical opponent acquire card build deck choice define strength weakness card allow send agent certain space game board deck evolves affect strategy might become powerful militarily able deploy troop opponent might acquire card give edge four political faction represented game emperor spacing guild bene gesserit fremen unlike many deck building game play entire hand one turn instead draw hand card start every round alternate player taking one agent turn time playing one card send one agent game board turn agent place take reveal turn revealing rest card provide persuasion sword persuasion used acquire card sword help troop fight current round reward shown revealed conflict card defeat rival combat shrewdly navigate political faction acquire precious card spice must flow lead house victory important link theofficial faq theunofficial faq anautoma solo p overview
Terraforming Mars,8.3,Strategy,12.0,5,120,3.27,mankind begin terraform planet mar giant corporation sponsored world government earth initiate huge project raise temperature oxygen level ocean coverage environment habitable interraforming mar play one corporation work together terraforming process compete getting victory point awarded contribution terraforming also advancing human infrastructure throughout solar system commendable thing player acquire unique project card two hundred different one buying hand card give immediate bonus well increasing production different resource many card also requirement become playable temperature oxygen ocean coverage increase enough buying card costly balance buying card actually playing standard project always available complement hand card basic income well basic score based terraform rating however income boosted production vps also gained many source keep track production resource player board game us six type resource megacredits steel titanium plant energy heat game board compete best place city tile ocean tile greenery tile also compete different milestone award worth many vps round called generation consists following phase player order shift clockwise research phase player buy card four privately drawn action phase player take turn action option playing card claiming milestone funding award using standard project converting plant greenery tile raising oxygen converting heat temperature raise using action card play turn continues around table sometimes several lap player passed production phase player get resource according terraform rating production parameter three global parameter temperature oxygen ocean reached required level terraforming complete game end generation combine terraform rating vps determine winning corporation
War of the Ring: Second Edition,8.5,Thematic,13.0,4,240,4.22,inwar ring one player take control free people fp player control shadow army sa initially free people nation reluctant take arm sauron must attacked sauron persuaded gandalf companion start fight earnest represented political track show nation ready fight war ring game military victory sauron conquers certain number free people city stronghold vice versa true hope free people lie quest ring bearer army clash across middle earth fellowship ring trying get secretly mount doom destroy one ring sauron aware real intention enemy looking across middle earth precious ring fellowship going face numerous danger represented rule hunt ring companion spur free people fight sauron free people player must balance need protect ring bearer harm attempt raise proper defense army shadow overrun middle earth ringbearer completes quest game turn revolves around roll action dice die corresponds action player perform turn depending face rolled die different action possible moving army character recruiting troop advancing political track action dice also used draw play event card event card played represent specific event story event could possibly happened portrayed normal game play event card also create unexpected turn game allowing special action altering course battle
Star Wars: Rebellion,8.4,Thematic,14.0,4,240,3.75,star war rebellionis board game epic conflict galactic empire rebel alliance two four player featuring plastic miniature two game board account thirty two thestar warsgalaxy notable system rebellionfeatures scope large sweeping anystar warsgame yet grandiosity rebellionremains intensely personal cinematic heroic much success depends upon strength starship vehicle troop depends upon individual effort notable character leia organon mon mothma grand moff tarkin emperor palpatine civil war spread throughout galaxy leader invaluable effort secret mission attempt evoke many inspiring moment classic trilogy might send luke skywalker receive jedi training dagobah darth vader spring trap freeze han solo carbonite
Spirit Island,8.3,Strategy,13.0,4,120,4.07,distant reach world magic still exists embodied spirit land sky every natural thing great power europe stretch colonial empire inevitably lay claim place spirit still hold power land fight back alongside islander live spirit islandis complex thematic co operative game defending island home colonizing invader player different spirit land unique elemental power every turn player simultaneously choose power card play paying energy using combination power card match spirit elemental affinity grant free bonus effect faster power take effect immediately invader spread ravage magic slower requiring forethought planning use effectively spirit phase spirit gain energy choose whether grow reclaim used power card seek new power spread presence new area island invader expand across island map semi predictable fashion turn explore land portion island next turn build land forming town city turn ravage bringing blight land attacking native islander present islander fight back invader attacked lend spirit aid may always exactly hoped power work islander helping example drive invader clean land blight game escalates progress spirit spread presence new part island seek new potent power invader step colonization effort turn represents year alternate history game start winning requires destroying every last explorer town city board frighten invader victory becomes easier run away even explorer even town city remain defeat come spirit destroyed island overrun blight invader deck depleted achieving victory game includes different adversary fight eg swedish mining colony remote british colony change play different way offer different path difficulty boost keep game challenging gain skill
